location,scan_data
x4y4,"{""ESP32_3"": -61, ""ESP32_2"": -63, ""ESP32_1"": -66, ""ESP32_4"": -67}"
x4y4,"{""ESP32_3"": -61, ""ESP32_2"": -65, ""ESP32_4"": -67, ""ESP32_1"": -73}"
x4y4,"{""ESP32_3"": -61, ""ESP32_2"": -63, ""ESP32_1"": -65, ""ESP32_4"": -70}"
x4y4,"{""ESP32_2"": -59, ""ESP32_1"": -61, ""ESP32_3"": -73, ""ESP32_4"": -74}"
x4y4,"{""ESP32_1"": -57, ""ESP32_2"": -59, ""ESP32_3"": -63, ""ESP32_4"": -67}"
x4y4,"{""ESP32_1"": -59, ""ESP32_3"": -63, ""ESP32_2"": -64, ""ESP32_4"": -74}"
x4y4,"{""ESP32_1"": -61, ""ESP32_2"": -61, ""ESP32_3"": -64, ""ESP32_4"": -70}"
x4y4,"{""ESP32_1"": -61, ""ESP32_3"": -63, ""ESP32_2"": -63, ""ESP32_4"": -71}"
x4y4,"{""ESP32_3"": -60, ""ESP32_2"": -61, ""ESP32_1"": -65, ""ESP32_4"": -70}"
x4y4,"{""ESP32_3"": -60, ""ESP32_2"": -63, ""ESP32_1"": -67, ""ESP32_4"": -70}"
x4y4,"{""ESP32_3"": -59, ""ESP32_2"": -62, ""ESP32_1"": -69, ""ESP32_4"": -72}"
x4y4,"{""ESP32_1"": -59, ""ESP32_2"": -67, ""ESP32_3"": -67, ""ESP32_4"": -78}"
x4y4,"{""ESP32_2"": -66, ""ESP32_1"": -69, ""ESP32_3"": -71, ""ESP32_4"": -72}"
x4y4,"{""ESP32_2"": -61, ""ESP32_4"": -65, ""ESP32_3"": -67, ""ESP32_1"": -69}"
x4y4,"{""ESP32_2"": -62, ""ESP32_3"": -64, ""ESP32_4"": -68, ""ESP32_1"": -72}"
x4y4,"{""ESP32_2"": -61, ""ESP32_3"": -61, ""ESP32_4"": -66, ""ESP32_1"": -70}"
x4y4,"{""ESP32_2"": -62, ""ESP32_4"": -65, ""ESP32_3"": -70, ""ESP32_1"": -76}"
x4y4,"{""ESP32_1"": -60, ""ESP32_2"": -60, ""ESP32_3"": -62, ""ESP32_4"": -64}"
x4y4,"{""ESP32_1"": -58, ""ESP32_3"": -59, ""ESP32_2"": -61, ""ESP32_4"": -67}"
x4y4,"{""ESP32_1"": -60, ""ESP32_2"": -60, ""ESP32_3"": -65, ""ESP32_4"": -69}"
x4y4,"{""ESP32_2"": -56, ""ESP32_1"": -58, ""ESP32_4"": -64, ""ESP32_3"": -77}"
x4y4,"{""ESP32_2"": -58, ""ESP32_1"": -60, ""ESP32_3"": -64, ""ESP32_4"": -68}"
x4y4,"{""ESP32_3"": -61, ""ESP32_2"": -61, ""ESP32_1"": -63, ""ESP32_4"": -68}"
x4y4,"{""ESP32_1"": -58, ""ESP32_2"": -62, ""ESP32_3"": -63, ""ESP32_4"": -66}"
x4y4,"{""ESP32_1"": -59, ""ESP32_2"": -62, ""ESP32_3"": -63, ""ESP32_4"": -66}"
x4y4,"{""ESP32_1"": -56, ""ESP32_4"": -60, ""ESP32_2"": -60, ""ESP32_3"": -64}"
x4y4,"{""ESP32_3"": -60, ""ESP32_1"": -61, ""ESP32_2"": -61, ""ESP32_4"": -63}"
x4y4,"{""ESP32_2"": -57, ""ESP32_1"": -61, ""ESP32_3"": -63, ""ESP32_4"": -64}"
x4y4,"{""ESP32_2"": -61, ""ESP32_3"": -62, ""ESP32_1"": -64, ""ESP32_4"": -68}"
x4y4,"{""ESP32_2"": -62, ""ESP32_1"": -63, ""ESP32_4"": -64, ""ESP32_3"": -68}"
x4y4,"{""ESP32_1"": -63, ""ESP32_2"": -63, ""ESP32_3"": -64, ""ESP32_4"": -66}"
x4y4,"{""ESP32_1"": -60, ""ESP32_2"": -60, ""ESP32_3"": -62, ""ESP32_4"": -67}"
x4y4,"{""ESP32_1"": -59, ""ESP32_2"": -59, ""ESP32_3"": -64, ""ESP32_4"": -64}"
x4y4,"{""ESP32_2"": -59, ""ESP32_1"": -65, ""ESP32_3"": -68, ""ESP32_4"": -69}"
x4y4,"{""ESP32_2"": -60, ""ESP32_1"": -63, ""ESP32_4"": -64, ""ESP32_3"": -65}"
x4y4,"{""ESP32_2"": -60, ""ESP32_1"": -62, ""ESP32_4"": -66, ""ESP32_3"": -68}"
x4y4,"{""ESP32_2"": -58, ""ESP32_3"": -61, ""ESP32_1"": -64, ""ESP32_4"": -65}"
x4y4,"{""ESP32_1"": -61, ""ESP32_2"": -61, ""ESP32_4"": -63, ""ESP32_3"": -69}"
x4y4,"{""ESP32_3"": -59, ""ESP32_1"": -62, ""ESP32_4"": -63, ""ESP32_2"": -72}"
x4y4,"{""ESP32_1"": -59, ""ESP32_2"": -63, ""ESP32_3"": -64, ""ESP32_4"": -66}"
x4y4,"{""ESP32_2"": -60, ""ESP32_1"": -63, ""ESP32_3"": -64, ""ESP32_4"": -67}"
x4y4,"{""ESP32_2"": -61, ""ESP32_1"": -69, ""ESP32_3"": -69, ""ESP32_4"": -76}"
